DATE,A34SNO_PC1
1993-02-01,2.94298
1993-03-01,3.51420
1993-04-01,7.88242
1993-05-01,0.30343
1993-06-01,1.12015
1993-07-01,5.24873
1993-08-01,9.59860
1993-09-01,3.59461
1993-10-01,15.76588
1993-11-01,2.26851
1993-12-01,-9.53106
1994-01-01,4.74660
1994-02-01,10.87356
1994-03-01,0.47029
1994-04-01,10.47475
1994-05-01,9.80727
1994-06-01,18.46737
1994-07-01,14.60403
1994-08-01,7.60116
1994-09-01,12.48193
1994-10-01,8.47290
1994-11-01,11.10956
1994-12-01,21.57033
1995-01-01,12.97174
1995-02-01,7.31839
1995-03-01,20.03023
1995-04-01,14.28634
1995-05-01,18.72917
1995-06-01,7.34384
1995-07-01,4.77233
1995-08-01,11.86072
1995-09-01,13.99314
1995-10-01,17.90072
1995-11-01,13.55209
1995-12-01,14.75093
1996-01-01,7.07615
1996-02-01,12.36420
1996-03-01,9.12378
1996-04-01,2.90314
1996-05-01,1.72530
1996-06-01,4.86854
1996-07-01,10.45549
1996-08-01,7.77821
1996-09-01,-4.82974
1996-10-01,5.55145
1996-11-01,7.23158
1996-12-01,-5.05778
1997-01-01,8.13770
1997-02-01,14.26871
1997-03-01,9.05334
1997-04-01,12.25661
1997-05-01,8.64207
1997-06-01,17.09843
1997-07-01,18.44067
1997-08-01,13.31456
1997-09-01,22.96118
1997-10-01,-0.46692
1997-11-01,3.32382
1997-12-01,17.11798
1998-01-01,8.55925
1998-02-01,3.50820
1998-03-01,5.66308
1998-04-01,1.46715
1998-05-01,8.24247
1998-06-01,2.50704
1998-07-01,-7.88149
1998-08-01,-4.53372
1998-09-01,0.61346
1998-10-01,1.43412
1998-11-01,3.41317
1998-12-01,5.43989
1999-01-01,0.04255
1999-02-01,-1.04697
1999-03-01,4.75544
1999-04-01,7.12756
1999-05-01,2.92517
1999-06-01,3.85187
1999-07-01,14.99850
1999-08-01,13.54626
1999-09-01,11.32286
1999-10-01,17.12143
1999-11-01,12.01827
1999-12-01,14.95992
2000-01-01,12.26813
2000-02-01,5.39510
2000-03-01,10.75063
2000-04-01,11.96003
2000-05-01,9.80273
2000-06-01,25.21755
2000-07-01,3.48086
2000-08-01,10.84560
2000-09-01,7.54452
2000-10-01,2.43971
2000-11-01,5.01120
2000-12-01,-6.52829
2001-01-01,-1.02282
2001-02-01,0.75066
2001-03-01,-13.79762
2001-04-01,-24.33338
2001-05-01,-20.45178
2001-06-01,-29.31914
2001-07-01,-22.62772
2001-08-01,-26.82099
2001-09-01,-28.98891
2001-10-01,-27.37610
2001-11-01,-25.99612
2001-12-01,-21.66391
2002-01-01,-29.46770
2002-02-01,-24.20706
2002-03-01,-21.66877
2002-04-01,-7.84278
2002-05-01,-12.96283
2002-06-01,-18.14494
2002-07-01,-14.69683
2002-08-01,-14.33075
2002-09-01,-19.13112
2002-10-01,-18.64124
2002-11-01,-14.82576
2002-12-01,-15.60068
2003-01-01,-4.18249
2003-02-01,-8.59850
2003-03-01,-5.86828
2003-04-01,-7.76986
2003-05-01,-3.79033
2003-06-01,-1.77656
2003-07-01,1.29854
2003-08-01,4.07732
2003-09-01,17.08687
2003-10-01,22.90774
2003-11-01,7.92659
2003-12-01,15.57341
2004-01-01,6.18166
2004-02-01,6.12906
2004-03-01,13.46272
2004-04-01,5.39283
2004-05-01,5.25288
2004-06-01,5.45175
2004-07-01,-1.49973
2004-08-01,-3.90539
2004-09-01,2.93056
2004-10-01,-4.91356
2004-11-01,-0.67937
2004-12-01,-4.62713
2005-01-01,3.33962
2005-02-01,3.07273
2005-03-01,-0.63323
2005-04-01,-1.34506
2005-05-01,-2.73226
2005-06-01,8.66110
2005-07-01,1.46302
2005-08-01,10.16240
2005-09-01,-4.88134
2005-10-01,-3.12600
2005-11-01,1.45708
2005-12-01,0.74487
2006-01-01,0.40495
2006-02-01,4.73821
2006-03-01,12.18574
2006-04-01,16.00345
2006-05-01,7.92369
2006-06-01,3.76147
2006-07-01,16.90070
2006-08-01,5.65473
2006-09-01,15.26996
2006-10-01,10.48732
2006-11-01,17.50908
2006-12-01,10.94022
2007-01-01,3.12772
2007-02-01,7.93184
2007-03-01,-13.31440
2007-04-01,-4.34367
2007-05-01,6.38282
2007-06-01,-5.43768
2007-07-01,-2.97967
2007-08-01,1.16271
2007-09-01,-3.83007
2007-10-01,2.56668
2007-11-01,-8.35483
2007-12-01,-3.35008
2008-01-01,6.21142
2008-02-01,-4.32064
2008-03-01,7.22020
2008-04-01,1.52474
2008-05-01,-0.18739
2008-06-01,5.72374
2008-07-01,-6.23845
2008-08-01,-6.62668
2008-09-01,-3.26647
2008-10-01,-13.04616
2008-11-01,-6.62345
2008-12-01,-10.54611
2009-01-01,-22.54431
2009-02-01,-17.11021
2009-03-01,-14.35120
2009-04-01,-23.25302
2009-05-01,-23.03850
2009-06-01,-19.75611
2009-07-01,-13.00749
2009-08-01,-17.83667
2009-09-01,-14.43248
2009-10-01,-8.17008
2009-11-01,-12.07998
2009-12-01,-9.75308
2010-01-01,4.22726
2010-02-01,-4.54946
2010-03-01,-0.96158
2010-04-01,8.73943
2010-05-01,1.30713
2010-06-01,-0.91451
2010-07-01,1.23244
2010-08-01,7.75281
2010-09-01,2.63088
2010-10-01,-3.22493
2010-11-01,5.60419
2010-12-01,8.55068
2011-01-01,6.73881
2011-02-01,9.72177
2011-03-01,-0.58431
2011-04-01,1.40211
2011-05-01,5.96974
2011-06-01,4.62381
2011-07-01,2.07681
2011-08-01,3.77563
2011-09-01,2.16344
2011-10-01,11.36492
2011-11-01,0.51273
2011-12-01,-0.95939
2012-01-01,-4.32342
2012-02-01,0.56350
2012-03-01,1.69252
2012-04-01,0.23692
2012-05-01,0.00857
2012-06-01,-8.15568
2012-07-01,-5.38016
2012-08-01,-12.74859
2012-09-01,-12.57946
2012-10-01,-10.77488
2012-11-01,-9.32239
2012-12-01,-6.03730
2013-01-01,-8.04799
2013-02-01,-14.73614
2013-03-01,-14.45767
2013-04-01,-7.64074
2013-05-01,-6.70896
2013-06-01,1.30420
2013-07-01,-2.86853
2013-08-01,-2.97505
2013-09-01,-0.10113
2013-10-01,0.74263
2013-11-01,1.13919
2013-12-01,-7.95804
2014-01-01,-0.14762
2014-02-01,3.33987
2014-03-01,7.98070
2014-04-01,-0.20007
2014-05-01,-6.07940
2014-06-01,-0.37646
2014-07-01,-1.17844
2014-08-01,5.02967
2014-09-01,0.66043
2014-10-01,-4.19288
2014-11-01,-9.25651
2014-12-01,-2.18609
2015-01-01,-3.30011
2015-02-01,-4.71264
2015-03-01,2.28171
2015-04-01,-2.18192
2015-05-01,1.31122
2015-06-01,-0.47586
2015-07-01,2.43325
2015-08-01,-0.90879
2015-09-01,0.03352
2015-10-01,1.75937
2015-11-01,4.25499
2015-12-01,4.66074
2016-01-01,-1.22799
2016-02-01,1.83285
2016-03-01,-7.48356
2016-04-01,-1.52042
2016-05-01,-0.70025
2016-06-01,-5.17508
2016-07-01,-3.50662
2016-08-01,-3.53545
2016-09-01,-2.90597
2016-10-01,-4.15142
2016-11-01,-2.06761
2016-12-01,-0.69101
2017-01-01,6.39105
2017-02-01,5.97183
2017-03-01,5.14567
2017-04-01,2.70545
2017-05-01,4.08521
2017-06-01,5.60087
2017-07-01,6.72593
2017-08-01,8.47783
2017-09-01,11.03003
2017-10-01,14.08904
2017-11-01,15.03902
2017-12-01,9.06016
2018-01-01,5.67393
2018-02-01,2.98611
2018-03-01,6.24143
2018-04-01,7.20513
2018-05-01,7.13485
2018-06-01,9.29688
2018-07-01,8.04577
2018-08-01,5.57650
2018-09-01,2.03837
2018-10-01,6.08650
2018-11-01,5.08828
2018-12-01,6.76562
2019-01-01,5.74233
2019-02-01,4.84001
2019-03-01,6.48894
2019-04-01,5.69670
2019-05-01,3.37564
2019-06-01,1.33630
2019-07-01,0.04659
2019-08-01,2.35279
2019-09-01,3.04652
2019-10-01,-1.79342
2019-11-01,-2.15196
2019-12-01,-1.45661
2020-01-01,0.23940
2020-02-01,2.24844
2020-03-01,-0.56422
2020-04-01,-1.14364
2020-05-01,0.80159
2020-06-01,0.92561
2020-07-01,4.05606
2020-08-01,4.57220
