date,open,high,low,close,volume
2005/6/10,10503.02,10538.64,10452.62,10512.63,217096478
2005/6/13,10503.57,10589.16,10474.38,10522.56,205632150
2005/6/14,10521.95,10586.7,10521.79,10547.57,192033315
2005/6/16,10566.76,10595.45,10540.06,10578.65,217730468
2005/6/17,10580.41,10656.29,10579.49,10623.07,373397465
2005/6/20,10621.54,10637.57,10562.38,10609.11,173106871
2005/6/21,10608.88,10630.36,10580.87,10599.67,204333101
2005/6/22,10599.36,10646.24,10578.04,10587.93,198812832
2005/6/23,10587.09,10589.01,10419.6,10421.44,288028651
2005/6/24,10422.28,10422.28,10297.84,10297.84,343147605
2005/6/27,10298.07,10332.13,10253.49,10290.78,220512860
2005/6/28,10291.01,10409.7,10290.55,10405.63,215349370
2005/6/29,10405.94,10433.79,10363.28,10374.48,222550633
2005/6/30,10374.18,10412.79,10267.22,10274.97,301805756
2005/7/1,10273.59,10343.79,10273.52,10303.44,231376369
2005/7/5,10303.13,10389.06,10282.65,10371.8,235623348
2005/7/6,10366.52,10380.47,10267.61,10270.68,237209964
2005/7/7,10269.76,10310.04,10175.4,10302.29,275313346
2005/7/8,10302.9,10462.26,10300.45,10449.14,249256573
2005/7/11,10449.6,10534.22,10449.6,10519.72,225471573
2005/7/12,10519.49,10544.04,10483.2,10513.89,233394317
2005/7/13,10513.36,10564.91,10512.36,10557.39,216658436
2005/7/14,10559.86,10657.69,10559.86,10628.89,267794395
2005/7/15,10629.44,10654.12,10600.48,10640.83,239704920
2005/7/18,10640.19,10640.19,10574.99,10574.99,206294418
2005/7/19,10576.9,10668.52,10576.9,10646.56,318159794
2005/7/20,10629.52,10691.3,10581.12,10689.15,312415683
2005/7/21,10690.03,10700.06,10608.43,10627.77,281750246
2005/7/22,10624.19,10658.58,10588.05,10651.18,231481554
2005/7/25,10651.66,10686.53,10591.55,10596.48,190251334
2005/7/26,10597.6,10626,10572.92,10579.77,220387847
2005/7/27,10579.45,10645.92,10577.38,10637.09,213224823
2005/7/28,10633.5,10710.48,10629.68,10705.55,220167809
2005/7/29,10705.16,10717.73,10640.91,10640.91,215284801
2005/8/1,10641.78,10672.36,10610.89,10623.15,192785463
2005/8/2,10623.79,10699.19,10623.47,10683.74,241686134
2005/8/3,10681.51,10698.07,10638.48,10697.59,237647105
2005/8/4,10696.8,10696.88,10606.67,10610.1,230600894
2005/8/5,10610.34,10610.81,10554.45,10558.03,218235280
2005/8/8,10557.24,10606.04,10524.91,10536.93,185878870
2005/8/9,10537.65,10639.08,10537.65,10615.67,207464623
2005/8/10,10606.52,10719.41,10570.05,10594.41,258416872
2005/8/11,10591.83,10685.89,10588.52,10685.89,234245445
2005/8/12,10682.7,10682.78,10568.3,10600.31,218888848
2005/8/15,10599.19,10655.08,10557.87,10634.38,173338000
2005/8/16,10631.59,10640.27,10510.34,10513.45,232523000
2005/8/17,10505.6,10588.93,10503.37,10550.71,235034000
2005/8/18,10549.75,10592.9,10517.43,10554.93,213902000
2005/8/19,10552.7,10626.26,10552.7,10559.23,219832000
2005/8/22,10559.78,10641.15,10523.96,10569.89,215570000
2005/8/23,10571.01,10577.46,10496.73,10519.58,210671000
2005/8/24,10519.34,10559,10432.08,10434.87,256638000
2005/8/25,10434.39,10465.36,10428.34,10450.63,188098000
2005/8/26,10450.95,10450.95,10383.98,10397.29,192099000
2005/8/29,10396.9,10487.5,10349.37,10463.05,202974000
2005/8/30,10461.54,10461.54,10350,10412.82,234646000
2005/8/31,10409.08,10484.79,10356.87,10481.6,281196000
2005/9/1,10481.44,10513.76,10425.8,10459.63,278989000
2005/9/2,10460.67,10497.45,10434.71,10447.37,204491000
2005/9/6,10447.69,10593.06,10447.69,10589.24,233671000
2005/9/7,10588.68,10640.43,10573.95,10633.5,226792000
2005/9/8,10633.11,10636.49,10569.34,10595.93,222994000
2005/9/9,10594.1,10695.92,10593.94,10678.56,247142000
2005/9/12,10678.41,10701.81,10664.09,10682.94,201194000
2005/9/13,10673.71,10674.03,10595.29,10597.44,222615000
2005/9/14,10597.52,10633.19,10536.62,10544.9,216302000
2005/9/15,10545.85,10582.07,10520.93,10558.75,225348000
2005/9/16,10560.5,10647.36,10560.42,10641.94,546944000
2005/9/19,10641.87,10644.57,10521.18,10557.63,233534000
2005/9/20,10558.19,10604.76,10467.11,10481.52,244558000
2005/9/21,10484.23,10484.55,10375.24,10378.03,266652000
2005/9/22,10376.2,10444.51,10350.96,10422.05,254263000
2005/9/23,10421.81,10455.81,10372.06,10419.59,238033000
2005/9/26,10420.22,10509.23,10410.11,10443.63,234318000
2005/9/27,10444.58,10496.25,10415.62,10456.21,224956000
2005/9/28,10456.61,10512.1,10423.98,10473.09,238737000
2005/9/29,10472.61,10563.37,10418.01,10552.78,236018000
2005/9/30,10552.7,10569.81,10526.12,10568.7,222158000
2005/10/3,10569.5,10608.56,10523.63,10535.48,239192000
2005/10/4,10534.36,10567.82,10434.79,10441.11,301841000
2005/10/5,10434.81,10438.47,10316.16,10317.36,266722000
2005/10/6,10317.36,10369.55,10218.09,10287.1,316439000
2005/10/7,10287.42,10347.3,10280.62,10292.31,237341000
2005/10/10,10292.95,10323.12,10237.8,10238.76,236539000
2005/10/11,10239.16,10312.88,10234.2,10253.17,261001000
2005/10/12,10253.81,10308.88,10186.09,10216.91,293424000
2005/10/13,10216.91,10241.32,10156.46,10216.59,270359000
2005/10/14,10216.59,10291.91,10200.1,10287.34,238951000
