DATE,NONM1_PC1
1976-01-01,17.47536
1976-02-01,18.72688
1976-03-01,17.57300
1976-04-01,16.47478
1976-05-01,16.85588
1976-06-01,14.98054
1976-07-01,13.79460
1976-08-01,14.71282
1976-09-01,15.81372
1976-10-01,16.65539
1976-11-01,17.73383
1976-12-01,17.76594
1977-01-01,17.90468
1977-02-01,16.89173
1977-03-01,17.11177
1977-04-01,17.04715
1977-05-01,16.15594
1977-06-01,16.32057
1977-07-01,15.94446
1977-08-01,14.64689
1977-09-01,12.78539
1977-10-01,11.31318
1977-11-01,9.57432
1977-12-01,8.13196
1978-01-01,7.23564
1978-02-01,6.45294
1978-03-01,5.68067
1978-04-01,5.00670
1978-05-01,4.51572
1978-06-01,4.37715
1978-07-01,4.12423
1978-08-01,3.89058
1978-09-01,4.38814
1978-10-01,4.71624
1978-11-01,4.31365
1978-12-01,3.95129
1979-01-01,3.69588
1979-02-01,3.19784
1979-03-01,3.04601
1979-04-01,3.63694
1979-05-01,3.98219
1979-06-01,4.55467
1979-07-01,5.17668
1979-08-01,5.98097
1979-09-01,5.81133
1979-10-01,5.76291
1979-11-01,6.54543
1979-12-01,7.25823
1980-01-01,7.46508
1980-02-01,18.82895
1980-03-01,20.60858
1980-04-01,20.94132
1980-05-01,21.24067
1980-06-01,22.16904
1980-07-01,23.11944
1980-08-01,23.08516
1980-09-01,23.03399
1980-10-01,23.20605
1980-11-01,176.83540
1980-12-01,176.19446
1981-01-01,175.75022
1981-02-01,151.79871
1981-03-01,150.80529
1981-04-01,151.02103
1981-05-01,149.95963
1981-06-01,146.85975
1981-07-01,144.82725
1981-08-01,145.13673
1981-09-01,145.93488
1981-10-01,146.75610
1981-11-01,10.16659
1981-12-01,10.73436
1982-01-01,10.83852
1982-02-01,10.73285
1982-03-01,10.31073
1982-04-01,10.14951
1982-05-01,10.33369
1982-06-01,10.68610
1982-07-01,10.21726
1982-08-01,9.93961
1982-09-01,9.61862
1982-10-01,8.71963
1982-11-01,8.34867
1982-12-01,8.48340
1983-01-01,11.74726
1983-02-01,13.54443
1983-03-01,13.39070
1983-04-01,12.89598
1983-05-01,12.78689
1983-06-01,12.41469
1983-07-01,12.68084
1983-08-01,11.97097
1983-09-01,11.70840
1983-10-01,12.35590
1983-11-01,12.22670
1983-12-01,11.88058
1984-01-01,9.11332
1984-02-01,7.07918
1984-03-01,7.70582
1984-04-01,8.26585
1984-05-01,8.28326
1984-06-01,8.34410
1984-07-01,8.26989
1984-08-01,8.27868
1984-09-01,8.45965
1984-10-01,8.58432
1984-11-01,9.13562
1984-12-01,9.69497
1985-01-01,10.27294
1985-02-01,10.27510
1985-03-01,9.40524
1985-04-01,8.61300
1985-05-01,8.41635
1985-06-01,8.82660
1985-07-01,9.03873
1985-08-01,8.99305
1985-09-01,8.65600
1985-10-01,8.32808
1985-11-01,7.56932
1985-12-01,6.74679
1986-01-01,5.90793
1986-02-01,5.75983
1986-03-01,5.96727
1986-04-01,6.52906
1986-05-01,6.78053
1986-06-01,6.72217
1986-07-01,6.68530
1986-08-01,7.01243
1986-09-01,7.34037
1986-10-01,7.36387
1986-11-01,7.25957
1986-12-01,7.04853
1987-01-01,7.16060
1987-02-01,6.56928
1987-03-01,6.05054
1987-04-01,5.31991
1987-05-01,4.62239
1987-06-01,4.08438
1987-07-01,3.69412
1987-08-01,3.38104
1987-09-01,3.16391
1987-10-01,3.07386
1987-11-01,3.30963
1987-12-01,3.61709
1988-01-01,3.49975
1988-02-01,4.92177
1988-03-01,5.66493
1988-04-01,6.04907
1988-05-01,6.45458
1988-06-01,6.67388
1988-07-01,6.71336
1988-08-01,6.69348
1988-09-01,6.48001
1988-10-01,6.31820
1988-11-01,6.57563
1988-12-01,6.13816
1989-01-01,5.75665
1989-02-01,4.39903
1989-03-01,3.91892
1989-04-01,3.79530
1989-05-01,3.63440
1989-06-01,3.94069
1989-07-01,4.64635
1989-08-01,5.30720
1989-09-01,5.80664
1989-10-01,6.38767
1989-11-01,6.59739
1989-12-01,7.07515
1990-01-01,7.33657
